id,id_clustering,name,description,n_documents,reduced_to_id_cluster,reduced_to_id_clustering
84,1,,"koníček, šavlička, vraník, koník, osedlaný, vraný, podkova, kůň, osedlat, ostruha",309,169,2
85,1,,"valčík, sál, karneval, čtverylka, parketa, piano, kamélie, tanec, bál, žofín",292,185,2
86,1,,"kukat, kukačka, žežulka, zakukat, žežhulka, drozd, buk, pěšinka, háječek, vřes",291,192,2
87,1,,"opat, mnich, refektář, klášterní, klášter, převor, monastýr, novic, bruno, cela",286,187,2
88,1,,"gallie, athena, hellen, caesar, peršan, barbar, římský, crassus, gall, tiberius",280,190,2
89,1,,"vánoční, vánoce, ježíšek, jesličky, stromek, jezulátko, dárek, jesle, štědrý, betlém",279,198,2
90,1,,"datel, drozd, sítí, olše, bříza, srpek, vřes, mlází, ptačí, kos",278,192,2
91,1,,"jesle, ježíšek, jesličky, betlém, jezulátko, vánoční, herodes, chlév, děťátko, dárek",277,198,2
92,1,,"babí, pavučina, vlákno, léto, jeseň, listí, pavouk, ocún, nitka, podzim",273,180,2
93,1,,"astra, jeseň, záhon, podzim, listí, zhořknout, podzimek, opadlý, podzimní, sledný",270,180,2
94,1,,"mateří, douška, skřivan, pěnkava, jitrocel, mez, chrpa, rmen, zvonek, vonět",267,174,2
95,1,,"edvard, dosoudit, vzpor, jež, vyšínský, zefýr, slast, výslovný, novum, slastný",266,173,2
96,1,,"rozkošnost, ukrutenství, šlechetnost, ouzkost, hanebnost, nevinnost, radování, lahodivý, blaženost, milostenka",264,182,2
97,1,,"gondola, laguna, signorina, benátky, kanál, benátský, loďka, mark, marek, člun",263,191,2
98,1,,"car, rus, ruský, voloďa, pravoslavný, carský, tolstoj, sibiř, rusko, moskva",259,190,2
99,1,,"přirození, ctnostný, nábožnost, ctnost, ctný, sprostnost, utěšený, požívat, vinšovat, tejrat",257,182,2
100,1,,"marina, marinos, vyšínský, dosoudit, jež, vzpor, marino, orlovský, vladimír, přerozkošný",253,173,2
101,1,,"bula, hala, ha, lomikar, dědek, máma, kozina, táta, baba, kouknout",245,171,2
102,1,,"snob, dřina, auto, žlab, děvka, zákeřný, přepych, špína, duchaplný, hnusný",244,188,2
103,1,,"turek, turčín, aga, balkán, hajduk, marko, junák, černohorec, ďaur, ďaurský",244,193,2
104,1,,"mleč, mlynář, mlýn, stárek, mlejnice, zanáška, mlít, mlynářka, stavidlo, krajánek",236,171,2
105,1,,"káča, kocour, utíkat, kočka, mňoukat, kotě, hup, rejdit, tlapa, kňučet",234,171,2
106,1,,"jablíčko, jablko, srdíčko, jabloňka, hubička, babička, sluníčko, oříšek, růžička, nadělit",233,169,2
107,1,,"ocún, jeseň, luka, podzim, podzimní, zalehlý, listí, vřes, krákot, pavučina",231,180,2
108,1,,"čapek, havlíček, dyk, neruda, tůma, malér, konkurence, paragraf, rozhořčení, redakce",229,189,2
109,1,,"svatoň, svatoňův, dušek, hofmann, bětuška, kovařík, pokojík, křemen, bohuslava, záleský",228,172,2
110,1,,"dědeček, babička, dědoušek, vnouček, babiččin, povídat, vnučka, dědek, tatík, hubička",228,169,2
111,1,,"cikán, cikánka, puszta, cikánský, magnát, pusta, cimbál, housle, podhola, jáchym",227,171,2
112,1,,"fara, farář, terinka, jemnostpán, farský, čáp, vikář, farářův, breviář, kuchařka",223,171,2
113,1,,"dudák, dudy, zadudat, dudat, švanda, měch, skočná, muzikant, chasa, zahrát",223,171,2
114,1,,"zbořený, zhaslý, spláchnout, vlnka, zřícenina, vrstva, rum, náhrobek, tlít, kostra",222,173,2
115,1,,"češka, čech, udatnost, vlastenský, čechová, vlast, líba, udatný, předčit, honosit",220,193,2
116,1,,"chumelit, závěj, sníh, vločka, rolnička, sněhový, saně, zimní, jíní, zasněžený",220,198,2
117,1,,"kocourek, kotě, pejsek, ořech, kožíšek, vrčet, šnek, zajíček, pes, kočka",219,171,2
118,1,,"švec, krejčí, bota, krejčík, ušít, andulička, ohánět, smůla, pětka, notný",215,171,2
119,1,,"veličenstvo, sir, fouché, francie, napoleon, paříž, bourbon, anglie, revoluce, císař",210,190,2
120,1,,"prstýnek, prsten, kamínek, perlička, snubní, věneček, ametyst, travička, tatínek, kroužek",209,169,2
121,1,,"epigram, psát, řádka, spis, napsat, kritika, psávat, kalamář, kaňka, kritik",209,179,2
122,1,,"honza, honzík, kabela, janek, vašek, máma, notný, buchta, bit, pec",209,171,2
123,1,,"vrtichvost, louže, sádlo, břicho, sláma, ostuda, lézt, mrcha, díra, čert",208,177,2
124,1,,"abbé, madame, historka, kord, salón, klípek, markýz, šminka, kanovník, hostitelka",207,185,2
125,1,,"úlek, jáhen, ragnar, úděs, úsluha, výtka, tuchnout, zátopa, rmut, opar",207,187,2
126,1,,"hostýn, moravan, morava, moravský, velehrad, slavský, moravěnka, svatopluk, tatra, tatar",205,193,2
127,1,,"mína, tokaj, bobkový, sála, tatra, toužebnost, mílek, milko, ňádro, muzo",205,193,2
128,1,,"tatra, dunaj, tokaj, visla, tatry, mína, dolina, upět, mílek, polknout",199,193,2
129,1,,"madonna, giulio, malovat, namalovat, florencie, andrea, fra, malíř, raffael, freska",199,190,2
130,1,,"šmok, praxe, bysta, odhlasovat, lump, policie, diktovat, vídeňský, zalhat, vysvědčení",195,189,2
131,1,,"brutus, catilina, caesar, senát, cicero, cassius, římský, řím, kato, caesarův",191,190,2
132,1,,"macků, marino, zubatá, marina, marinos, panímáma, macek, pantáta, jiří, namíchat",188,173,2
133,1,,"akiba, rabín, rabbi, izrael, ben, juda, jehova, synagoga, judita, mesiáš",187,186,2
134,1,,"rondó, sonet, znělka, arabeska, splítat, opozděný, kaskáda, sloka, měkounký, dívčí",187,185,2
135,1,,"klávesa, klavír, piano, tonus, akord, tón, pokojík, melodie, čaj, doznívat",186,185,2
136,1,,"vodník, vodníkův, vodní, rusalka, rybka, tůně, hastrman, lýčí, rákosí, vlnka",185,169,2
137,1,,"kozák, ukrajina, ataman, kozácký, síč, hetman, step, dněpr, dumka, stambul",184,193,2
138,1,,"vláďa, blaženka, géza, valda, závěta, přetřít, uzardít, toník, lubas, rtík",181,172,2
139,1,,"bidélko, klec, klícka, hrdélko, přilítnout, ptáček, ptáče, kanárek, drátek, zašveholit",179,174,2
140,1,,"velehrad, svatopluk, moravan, morava, slavský, metoda, slovanský, hostýn, svornost, svorný",172,193,2
141,1,,"danton, robespierre, marat, camilla, revoluce, konvent, arras, jean, fouché, patriot",172,190,2
142,1,,"milada, propadat, hmotný, nicotný, posupný, zastřený, přepadat, hromada, modř, životný",171,184,2
143,1,,"sylva, jiřina, řetízek, kukat, závaží, inkognito, omakat, ciferník, dvířka, kyvadlo",171,192,2
144,1,,"libuše, libušin, přemysl, libuš, vyšehrad, stolec, lumír, šemík, knížecí, vlasta",166,172,2
145,1,,"michl, vašek, vytnout, facka, honza, kamizola, čert, bití, troník, honzík",162,171,2
146,1,,"omar, kalif, fatima, mohamed, mekka, damašek, huriska, karavana, velbloud, turban",162,186,2
147,1,,"mojžíš, áron, egypťan, židy, faraon, izraelský, hebrej, egyptský, rabství, egypt",157,186,2
148,1,,"větit, záboj, zábojův, brunhilda, luděk, bech, frankfranko, útroby, harant, vanda",153,172,2
149,1,,"hladík, machar, román, čtenář, gentleman, dyk, redaktor, spisovatel, konkurence, pětka",152,179,2
150,1,,"archa, noemův, noe, potopa, holubice, arch, zaslíbení, úmluva, holoubek, olivový",149,186,2
151,1,,"cnost, zmilený, jež, vlast, národnost, musa, původ, slovanský, šlechetník, oslavit",147,182,2
152,1,,"kulíšek, zubík, ferina, brebera, žroutek, huba, milostpán, raneček, drápat, natropit",144,177,2
153,1,,"sedmihlásek, sněmovník, sněm, tribuna, spolek, ježek, slon, sněmovna, zvíře, učený",140,182,2
154,1,,"juan, don, juanův, trinidad, nina, diego, svěřovat, synovec, pavlína, kolonie",137,172,2
155,1,,"saul, david, samuel, jahve, izrael, goliáš, hospodinův, šalamoun, prorok, mojžíš",132,186,2
156,1,,"lucy, lucie, jiří, doktorka, teta, opozice, chvilka, střih, napadnout, berní",129,185,2
157,1,,"karafiát, povídačka, studit, pamflet, pohlednice, záhonek, patetický, pivoňka, fialinka, proslov",120,169,2
158,1,,"andělka, pentle, družička, mládenec, taneční, tanečník, výskot, svatebčan, promodrávat, palouk",120,171,2
159,1,,"antoš, hlohov, sklenář, staněk, mařenka, podhola, filomena, boženka, plot, tkadlec",120,195,2
160,1,,"prokop, sluj, prokopov, rarach, poustevník, zubr, polekaný, rozhlížet, jeskyně, gigantický",110,186,2
161,1,,"běla, tomek, tomík, vojtěch, odstavit, baruška, hošek, doktor, kojná, doktorův",110,174,2
162,1,,"irma, vítek, jelenka, milán, jež, zasnout, ptaní, loďka, leknín, lazur",104,192,2
163,1,,"dojmutý, brandan, karel, roland, olivier, zvolat, alda, bazin, garin, ganelon",102,172,2
164,1,,"ctirad, vlasta, vlastin, přemysl, děvín, bivoj, šárka, morana, vyšehrad, šárek",92,172,2
165,1,,"ilja, bojar, kyjev, step, volha, nasťa, vladimír, kalený, tatarský, ivan",85,193,2
166,1,,"záviš, dvořan, otakar, milota, žezlo, svojanov, králův, vladislav, dubá, jitka",82,172,2
167,1,,"váša, chlumský, jana, vraný, mlýn, sekerník, stárek, otčím, václav, vor",80,171,2
168,1,,"nebezpečenství, obdivování, ouzkost, krystův, křižovník, sladivý, nevina, rajmund, šálivý, zvětřený",64,182,2
169,2,,"srdéčko, panenka, hubička, očko, děvčátko, matinka, líčko, růžička, srdíčko, poupátko",3277,NULL,NULL
170,2,,"mystický, viditelný, tajemný, magický, tajemství, vášnivý, závrať, vegetace, agonie, kosmický",2769,NULL,NULL
171,2,,"pivo, hospoda, čert, muzika, huba, kmotr, koukat, notný, kapsa, holka",2732,NULL,NULL
172,2,,"husův, cizák, husitský, rab, zpupný, vrah, český, korouhev, prapor, národ",2657,NULL,NULL
173,2,,"toužebnost, jež, jinoch, milostný, dosoudit, zpěvec, háj, libý, vyšínský, lůno",2592,NULL,NULL
174,2,,"zpěvný, ptačí, skřivánek, vesna, luh, linduška, drozd, ptáče, zpěvánka, skřivan",2528,NULL,NULL
175,2,,"maska, gesto, morálka, tragika, kultura, cynismus, herec, cynický, směšný, pošklebek",2462,NULL,NULL
176,2,,"zapomnění, odříkání, žití, touha, vzpomínka, snění, sen, skanout, polibek, snivý",2371,NULL,NULL
177,2,,"huba, dělat, zubík, prohloupit, zastávat, nos, čert, notný, dostat, dokázat",2366,NULL,NULL
178,2,,"topol, rybník, zeleň, jednotvárný, vzduch, táhlý, vlhký, žlutý, olše, pruh",2333,NULL,NULL
179,2,,"kritik, kritika, verš, psát, báseň, napsat, autor, čtenář, papír, redaktor",2301,NULL,NULL
180,2,,"jeseň, podzim, podzimní, vzpomínka, smutek, chlad, listí, teskný, zapadlý, stesk",2245,NULL,NULL
181,2,,"teskný, tón, ozvěna, zvon, zádumčivý, stesk, ston, zvuk, ohlas, melodie",2235,NULL,NULL
182,2,,"ctnost, šlechetný, plodit, nábožnost, přirozenost, nepravost, ctný, zvelebovat, svodný, ourodný",2138,NULL,NULL
183,2,,"vánek, luzný, slast, ladný, něžný, vnada, snivý, květný, kvítko, poupě",2133,NULL,NULL
184,2,,"bytí, věčno, hmota, kosmos, tvůrčí, podstata, vesmír, bytost, nekonečno, poznání",2100,NULL,NULL
185,2,,"sonet, nymfa, poezie, sloka, faun, rým, satyr, rokoko, dívčí, park",2095,NULL,NULL
186,2,,"sfinga, samum, cedr, lotos, změť, zev, kentaur, zdeptat, eumenida, erebos",2092,NULL,NULL
187,2,,"kristus, ježíš, kristův, spasitel, golgota, kříž, páně, kalvárie, oltář, modlitba",2078,NULL,NULL
