,author_order,person_id,book_id
223,1,136,1237
224,1,130,129
225,1,323,465
226,1,235,303
227,1,252,317
228,1,686,1009
229,1,325,471
230,1,320,459
231,1,686,1021
232,1,686,1035
233,1,686,1034
234,1,322,458
235,1,686,1020
236,1,686,1008
237,1,252,316
238,1,325,470
239,1,323,464
240,1,235,302
241,1,204,1550
242,1,557,896
243,1,130,128
244,1,136,1236
245,1,385,1222
246,1,314,1544
247,1,557,882
248,1,408,672
249,1,130,114
250,1,128,100
251,1,65,1578
252,1,408,666
253,1,112,1593
254,1,494,855
255,1,419,699
256,1,112,1587
257,1,490,841
258,1,516,869
259,1,326,1424
260,1,56,1342
261,1,352,1356
262,1,60,48
263,1,359,1430
264,1,420,706
265,1,370,1418
266,1,72,60
267,1,116,74
268,1,420,712
269,1,577,921
270,1,294,1381
271,1,508,1395
272,1,584,935
273,1,577,909
274,1,79,1140
275,1,176,1626
276,1,341,538
277,1,196,1632
278,1,80,1154
279,1,203,262
280,1,336,504
281,1,341,510
282,1,162,276
283,1,91,1168
284,1,544,1183
285,1,587,1197
286,1,232,289
287,1,568,1193
288,1,235,299
289,1,553,1187
290,1,79,1150
291,1,341,528
292,1,574,1636
293,1,154,1622
294,1,79,1144
295,1,162,272
296,1,341,514
297,1,336,500
298,1,93,1178
299,1,203,266
300,1,577,931
301,1,508,1391
302,1,508,1385
303,1,577,925
304,1,577,919
305,1,708,1434
306,1,684,1352
307,1,72,58
308,1,56,1346
309,1,31,1420
310,1,283,1408
311,1,420,716
312,1,116,70
313,1,96,64
314,1,420,702
315,1,535,1583
316,1,490,845
317,1,112,1597
318,1,492,851
319,1,417,689
320,1,555,879
321,1,314,1540
322,1,557,886
323,1,385,1226
324,1,130,138
325,1,136,1232
326,1,407,1554
327,1,557,892
328,1,408,662
329,1,128,104
330,1,130,110
331,1,356,676
332,1,268,1568
333,1,686,1024
334,1,321,448
335,1,686,1030
336,1,235,306
337,1,686,1018
338,1,320,460
339,1,325,474
340,1,247,312
341,1,325,475
342,1,249,313
343,1,686,1019
344,1,235,307
345,1,323,461
346,1,321,449
347,1,686,1031
348,1,686,1025
349,1,130,111
350,1,268,1569
351,1,406,677
352,1,408,663
353,1,128,105
354,1,136,1233
355,1,557,893
356,1,407,1555
357,1,557,887
358,1,314,1541
359,1,115,139
360,1,385,1227
361,1,524,878
362,1,417,688
363,1,492,850
364,1,112,1596
365,1,490,844
366,1,535,1582
367,1,98,65
368,1,420,703
369,1,420,717
370,1,87,1409
